Code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030819,Fish,"Smoked, frozen, dried, salted or in brine, sea cucumbers ""Stichopus japonicus, Holothurioidea""",0,0,0,0,0,0,0,0,0,0,0,20976,39501,22552,22589,22305,17706,6954
030391,Fish,"Frozen fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11254,12463
160557,Fish,"Abalone, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,8290,6885,11374,14971,8119,7006,9204
030312,Fish,"Frozen Pacific salmon (excluding sockeye salmon ""red salmon"")",0,0,0,0,0,0,0,0,0,0,0,11860,8532,10427,20972,29649,33930,28095
030474,Fish,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,16919,16672,13676,6596,6813,10952,15388
030452,Fish,"Fresh or chilled meat, whether or not minced, of salmonidae (excluding fillets)",0,0,0,0,0,0,0,0,0,0,0,83277,12506,14107,13308,12093,6575,7584
030119,Fish,Live ornamental fish (excluding freshwater),0,0,0,0,0,0,0,0,0,0,0,8879,4050,3903,5602,9290,9916,10543
030695,Fish,"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886,7237
030359,Fish,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5417,6744
030271,Fish,"Fresh or chilled tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,1382,2566,2260,5666,5305,6886,7166
030363,Fish,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,2173,1663,5529,10345,14550,20099,20135
030245,Fish,"Fresh or chilled jack and horse mackerel ""Trachurus spp.""",0,0,0,0,0,0,0,0,0,0,0,12242,12593,11695,10467,9748,8329,8157
030251,Fish,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,6009,10781,13162,9842,11950,11351,8942
160559,Fish,"Molluscs, prepared or preserved (excluding smoked, oysters, scallops, mussels, cuttle fish, ...",0,0,0,0,0,0,0,0,0,0,0,5881,6201,6759,7826,9066,9062,9574
030784,Fish,"Frozen, even in shell, stromboid conchs ""Strombus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7890,8365
030539,Fish,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, ...",0,0,0,0,0,0,0,0,0,0,0,18726,19317,18153,20490,15308,9750,6765
030353,Fish,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling ...",0,0,0,0,0,0,0,0,0,0,0,2434,2479,3052,2451,6098,7157,10061
030369,Fish,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,0,0,0,0,0,0,0,0,0,1382,1585,2181,2445,2540,2401,3133
030552,Fish,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663,4950
