HS Code 6,Konsumsi-Non Konsumsi,Olahan-Non Olahan,Asal Bahan Baku,Komoditas,Komoditas 1,Komoditas 2,Group_Commodities,Commodities,Sebaran Habitat,Bentuk,Form,Uraian 2017
208901,K,O,Perikanan Tangkap,Paha Kodok,Paha Kodok,Lainnya,Other Fish,Frog'S Legs,Tropis,"Segar, Dingin Atau Beku","Fresh, Chilled Or Frozen","Daging dan bagian daging lainnya yang dapat dimakan dari paha kodok segar,  dingin atau beku/Other meat and edible meat offal of frogs'legs, fresh, chilled or frozen."
030191,K,N,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Hidup,Live,"Trout hidup (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache dan Oncorhynchus chrysogaster)/Live trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030211,K,N,Perikanan Tangkap,Trout,Trout,Lainnya,Other Fish,Trout,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache dan Oncorhynchus chrysogaster), segar atau dingin/Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhyncus apache and Oncorhynchus chrysogaster), fresh or chilled"
030213,K,N,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Salmon Pacifik (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutc, oncorhynchus masou dan Oncorhynchus rhodurus), segar atau dingin/Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutc, oncorhynchus masou and Oncorhynchus rhodurus) fresh or chilled"
030214,K,N,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Salmon Atlantik (Salmo salar) dan salmon Danube (Hucho hucho), segar atau dingin"
030242,K,N,Perikanan Tangkap,Teri,Teri,Lainnya,Other Fish,Anchovies,Tropis,Segar Atau Dingin,Fresh Or Chilled,"Teri (Engraulis spp.) segar atau dingin/Anchovies (Engraulis spp.), fresh or chilled"
030246,K,N,Perikanan Tangkap,Cobia,Cobia,Lainnya,Other Fish,Cobia,Tropis,Segar Atau Dingin,Fresh Or Chilled,"Cobia (Rachycentron canadum) segar atau dingin/Cobia (Rachycentron canadum), fresh or chilled"
030251,K,N,Perikanan Tangkap,Cod,Cod,Lainnya,Other Fish,Cod,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) segar atau dingin/Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), fresh or chilled"
030255,K,N,Perikanan Tangkap,Alaska Pollack,Alaska Pollack,Lainnya,Other Fish,Alaska Pollack,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,"Alaska Pollack (Theragra chalcogramma) segar atau dingin/Alaska Pollack (Theragra chalcogramma), fresh or chilled"
030279,K,N,Perikanan Tangkap,Gabus Dan Nile Perch,Gabus Dan Nile Perch,Lainnya,Other Fish,Snakeheads And Nile Perch,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,Nile perch (Lates niloticus) dan gabus (Channa spp.) segar atau dingin/Nile perch (Lates niloticus) and snakeheads (Channa spp.) fresh or chilled
030282,K,N,Perikanan Tangkap,Pari Dan Skates,Pari Dan Skates,Lainnya,Other Fish,Rays And Skates,Tropis,Segar Atau Dingin,Fresh Or Chilled,Pari dan skates (Rajidae) segar atau dingin/Rays and skates (Rajidae) fresh or chilled
030284,K,N,Perikanan Tangkap,Seabass,Seabass,Lainnya,Other Fish,Seabass,Sub Tropis,Segar Atau Dingin,Fresh Or Chilled,Seabass (Dicentrarchus spp.) segar atau dingin/Seabass (Dicentrarchus spp.) fresh or chilled
030291,K,O,Perikanan Tangkap,Hati-Telur Ikan,Hati-Telur Ikan,Lainnya,Other Fish,Livers And Roes Of Fish,Tropis,Segar Atau Dingin,Fresh Or Chilled,"Hati, telur dan sperma, segar atau dingin"
030311,K,N,Perikanan Tangkap,Salmon,Salmon,Lainnya,Other Fish,Salmon,Sub Tropis,Beku,Frozen,"Salmon sockeye (salem merah) (Oncorhynchus nerka) beku/Sockeye salmon (red salmon) (Oncorhynchus nerka), frozen"
