Product code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030551,Fish,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", even salted, not smoked (excluding ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030552,Fish,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030553,Fish,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030554,Fish,"Dried herrings ""Clupea harengus, Clupea pallasii"", anchovies ""Engraulis spp."", sardines ""Sardina ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030561,Fish,"Herring (Clupea harengus, Clupea pallasii), only salted or in brine (excluding fillets and ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030562,Fish,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", salted or in brine only (excluding fillets ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030564,Fish,"Tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030615,Fish,"Frozen Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, incl. lobsters ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030625,Fish,"Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, live, fresh, chilled, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030691,Fish,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030692,Fish,"Lobsters ""Homarus spp."", whether in shell or not, dried, salted, smoked or in brine, incl. ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030694,Fish,"Norway lobsters ""Nephrops norvegicus"", whether in shell or not, dried, salted, smoked or in ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030699,Fish,"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030712,Fish,"Oysters, even in shell, frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030722,Fish,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, even ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030732,Fish,"Mussels ""Mytilus spp., Perna spp."", frozen, even in shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030772,Fish,"Frozen, even in shell, clams, cockles and ark shells ""families Arcidae, Arcticidae, Cardiidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030779,Fish,"Smoked, frozen, dried, salted or in brine, even in shell, clams, cockles and ark shells ""families ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030781,Fish,"Live, fresh or chilled, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030783,Fish,"Frozen, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030784,Fish,"Frozen, even in shell, stromboid conchs ""Strombus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030787,Fish,"Smoked, dried, salted or in brine, even in shell, abalone ""Haliotis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030788,Fish,"Smoked, dried, salted or in brine, even in shell, stromboid conchs ""Strombus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030789,Fish,"Smoked, frozen, dried, salted or in brine, abalone ""Haliotis spp."", even in shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030792,Fish,"Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030812,Fish,"Frozen sea cucumbers ""Stichopus japonicus, Holothuroidea""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030829,Fish,"Smoked, frozen, dried, salted or in brine, sea urchins ""Strongylocentrotus spp., Paracentrotus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160300,Fish,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160412,Fish,"Prepared or preserved herrings, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160416,Fish,"Prepared or preserved anchovies, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160417,Fish,"Prepared or preserved eels, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160418,Fish,"Prepared or preserved shark fins, whole or in pieces (excl. minced)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160430,Fish,Caviar and caviar substitutes prepared from fish eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160431,Fish,Caviar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160540,Fish,"Crustaceans, prepared or preserved (excluding smoked, crabs, shrimps, prawns and lobster)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
