Product code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030360,"Frozen cod ""Gadus morhua, Gadus ogac and Gadus macrocephalus""",7,5,1,45,23,0,28,33,114,0,0,0,0,0,0,0,0,0
030361,Frozen swordfish (Xiphias gladius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,383,1113,462,996,2421,612,779
030364,"Frozen haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030365,"Frozen coalfish ""Pollachius virens""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030366,"Frozen hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030367,"Frozen Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
030368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030371,"Frozen sardines Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."" and brisling ...",0,13,0,142,163,116,17,12,0,60,34,0,0,0,0,0,0,0
030372,Frozen haddock (Melanogrammus aeglefinus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030373,Frozen coalfish (Pollachius virens),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030374,"Frozen mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",52,74,63,19,206,165,218,143,5,9,0,0,0,0,0,0,0,0
030375,Frozen dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030376,Frozen eels (Anguilla spp.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030377,"Frozen sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,0
030378,"Frozen hake (Merluccius spp., Urophycis spp.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030379,"Frozen freshwater and saltwater fish (excluding salmonidae, flat fish, tunas, skipjack or stripe-bellied ...",114,1,0,17,34,17,28,249,497,282,187,0,0,0,0,0,0,0
030380,Frozen fish livers and roes,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0
030381,Frozen dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0
030382,"Frozen rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030383,"Frozen toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455
030384,"Frozen sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030389,"Frozen fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,8,200,422,0,0,120,0
030390,Frozen fish livers and roes,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
030391,"Frozen fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030392,Frozen shark fins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
030399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030410,"Fresh or chilled fillets and other fish meat, whether or not minced",0,24,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
030411,"Fresh or chilled fillets and other meat whether or not minced"" of swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030419,"Fresh or chilled fillets and other fish meat whether or not minced"" (excluding swordfish and ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030420,Frozen fish fillets,56,34,60,11,30,42,0,0,0,0,0,0,0,0,0,0,0,0
030421,Frozen fillets of swordfish (Xiphias gladius),0,0,0,0,0,0,0,0,0,137,336,0,0,0,0,0,0,0
030422,Frozen fillets of toothfish (Dissostichus spp.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030429,Frozen fish fillets (excluding swordfish and toothfish),0,0,0,0,0,0,0,0,0,356,790,0,0,0,0,0,0,0
030431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,69,132,0,0,0,0,0
030433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030439,"Fresh or chilled fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,198,344
030441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030443,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030444,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
